Name of publication,Delivery,Address,State,Audience: City/region,Audience,Black-owned?,Contact,Contact type,URL
The VOICE,Status unknown,"205 E Clay St, Richmond, VA 23219",Virginia,Richmond,African-American,Y,,,http://www.voicenewspaper.com/
The Washington Informer,"""Newspaper, weekly""","3117 Martin Luther King Jr Ave SE, Washington, DC 20032","Washington, D.C.",DC,African-American,Y,,,https://www.washingtoninformer.com/
The Washington Sun,"""Newspaper, weekly""","830 Kennedy St NW # B2, Washington, DC 20011","Washington, D.C.",DC,African-American,Y,,,https://twitter.com/thewashsun
The Weekly Challenger,"""Newspaper, weekly""","P.O. Box 35130 | St. Petersburg, FL 33705",Florida,St. Petersburg,African-American,Y,"Lyn Johnson, advertising@theweeklychallenger.com",Editor,http://theweeklychallenger.com/
Toledo Journal,"""Newspaper, weekly""","2145 E, Scott Park Drive, Toledo, OH 43606",Ohio,Toledo,African-American,Y,,,https://thetoledojournal.com/
Trapital,Newsletter,N/A,Nationwide,Nationwide,General,Y,"info@trapital.co, (415) 234-3074",General inbox,trapital.co
Tri-State Defender,"""Newspaper, weekly""","203 Beale St #200, Memphis, TN 38103",Tennessee,Memphis,African-American,Y,,,https://tri-statedefender.com/
UNPOPCULTR,"Online,Podcast",NYC,Nationwide,Nationwide,BIPOC,Y,info@unpopcultr.co,General inbox,https://www.unpopcultr.co/
Urban One (WAMJ/WHTA/WPZE/WUMJ-HD2),Radio,"101 Marietta St 12th Fl Atlanta, GA 30303",Georgia,Atlanta,African-American,Y,,,
Urban One (WKYS/WMMJ/WOL/WYCB/WPRS),Radio,"8515 Georgia Ave # 9, Silver Spring, MD 20910",Maryland,Silver Spring,African-American,Y,,,
Urban One (WQOK/WFXC/WFXK/WNNL),Radio,"8001 Creedmoor Rd. Suite 101 Raleigh, NC 27613",North Carolina,Raleigh,African-American,Y,,,
UrbanGeekz,"""Online, video""","Atlanta, GA",Nationwide,Nationwide,Multicultural,Y,info@urbangeekz.com,General inbox,https://urbangeekz.com/
Village Free Press,Newspaper,,Illinois,Proviso Township,Regional,Y,"Michael Romain, michael@oakpark.com",Publisher,https://www.vfpress.news/
Vinegar Hill Magazine,"""Magazine, quarterly"",Podcast","Charlottesville, VA",Virginia,Charlottesville,African-American,Y,"info@vinegarhillmagazine.com, (434) 466-5718",General inbox,https://www.vinegarhillmagazine.com/
W227BF,Radio,"1600 Utica Ave. South, Ste. 400, St. Louis Park, MN 55416",Minnesota,Minneapolis-St. Paul,African-American,"N, iheartradio affiliate",,,
W254AZ,Radio,"801 Woodridge Center Dr Charlotte, NC 28217",North Carolina,Belmont,African-American,"N, iheartradio affiliate",,,
W279AQ,Radio,"1001 Highlands Plaza Drive West, Suite 200, St. Louis, MO 63110",Missouri,St. Louis,African-American,"N, iheartradio affiliate",,,
WATV,Radio,"3025 Ensley Avenue, Birmingham, AL 35208",Alabama,Birmingham,African-American,Y,"Courtney French, 205-780-2014",Owner,https://myv949.com/
WBCP,Radio,"904 N. Fourth Street, Suite D Champaign, IL 61820",Illinois,Champaign,African-American,Y,,,
WBIN,Radio,"1819 Peachtree Road Ste 700, Atlanta,GA 30309",Georgia,Atlanta,African-American,"N, iheartradio affiliate",,,
WCCG,Radio,"115 Gillespie Street, Fayetteville, NC 28301",North Carolina,Fayetteville,African-American,Y,,,https://wccg1045fm.com/
WDFN,Radio,"27675 Halsted Farmington Hills, MI 48331",Michigan,Detroit,African-American,"N, iheartradio affiliate",,,
Weekly Press,"""Newspaper, weekly""","1283 Rosenwald Rd, Baton Rouge, LA 70807",Louisiana,Baton Rouge,African-American,Y,"Ivory Payne, ivory@brweekpress.com",Publisher,https://www.brweeklypress.com/
Westchester County Press,"""Newspaper, weekly""","P.O. Box 152. White Plains, New York 10602-4108",New York,Westchester County,African-American,Y,,,https://www.westchestercountypress.com/
Westside Gazette,"""Newspaper, weekly""","545 N.W. 7th Terrace, Fort Lauderdale, FL 33311",Florida,Fort Lauderdale,African-American,Y,"Carma Henry, wgazette@thewestsidegazette.com",Editor,https://thewestsidegazette.com/
Westside Story Newspaper,"""Newspaper, weekly""","577 N D St #112h, San Bernardino, CA 92401",California,San Bernardino ,African-American,Y,"WJ Allen, mail@westsidestorynewspaper.com",Publisher,https://www.westsidestorynewspaper.com/
WEUP,Radio,"2609 Jordan Lane NW, Huntsville, AL 35816",Alabama,Huntsville,African-American,Y,"Hundley Batts, hundley@103weup.com",Co-owner,http://pro-weup-am-flex.franklymedia.com/index.php
WFLM,Radio,"6803 South Federal Hwy, White City, FL",Florida,Vero Beach,African-American,Y,,,http://www.1045theflame.com/wflm/
WGNL/WGNG,Radio,"PO BOX 1801. Greenwood, MS 38930",Mississippi,Greenwood,African-American,Y,,,https://www.104wgnl.com/
WGVL,Radio,"101 N Main St Suite 1000. Greenville, SC",South Carolina,Greenville,African-American,"N, iheartradio affiliate",,,
What's Up Kansas City,"""Online, daily""","1805 Vine St, Kansas City, MO 64108",Missouri,Kansas City,African-American,Y,,,https://whatsupkansascity.net/
Whetstone Magazine,"Magazine,Podcast",N/A,Nationwide,Nationwide,General,Y,hello@whetstonemagazine.com,General inbox,https://www.whetstonemagazine.com/
WHPR,TV,"160 Victor St Highland Park, MI",Michigan,Detroit,African-American,Y,,,https://www.fm881whpr.com/
WHTY,Radio,"1501 13th Ave. Columbus, GA 31901",Georgia,Columbus,African-American,"N, iheartradio affiliate",,,
WHUR,Radio,"529 Bryant Street NW Washington, DC 20059","Washington, D.C.","Washington, D.C",African-American,Y but owned by Howard U,,,http://whur.com/
WHUT-TV,TV,"2222 4th Street, N. Washington, DC","Washington, D.C.","Washington, D.C",African-American,Y but owned by Howard U,,,https://www.whut.org/
Wilmington Journal,"""Newspaper, weekly""","416 S 7th St, Wilmington, NC 28401",North Carolina,Wilmington,African-American,Y,wilmjourn@aol.com,General inbox,wilmingtonjournal.com
Windy City Word,"""Newspaper, weekly""","5090 W Harrison St, Chicago, IL 60644",Illinois,Chicago,African-American,Y,info@windycityword.com,General inbox,http://windycityword.com/
Winston-Salem Chronicle,"""Newspaper, weekly""","1300 East Fifth Street Winston-Salem, NC 27101",North Carolina,Winston-Salem,African-American,Y,"James Taylor Jr.,  jtaylorjr@wschronicle.com",Publisher,https://wschronicle.com/
WJZD,Radio,"10211 Southpark Drive, Gulfport MS 39503",Mississippi,Gulfport,African-American,Y,,,https://www.wjzd.com/
WKNY/Radio Kingston,Radio,"718 Broadway, Kingston NY 12401",New York,Ulster County,Multicultural,Nonprofit,,,https://radiokingston.org/
WKWQ,Radio,"69 Robert Smalls Pkwy #2T, Beaufort, SC 29902",South Carolina,Lowcountry,African-American/Gullah,Y,WKWQ@gullahradio.net,General inbox,https://www.gullahradio.net/
WMBM,Radio,"13242 NW 7th Avenue, Miami, FL 33168",Florida,Miami,African-American,Y,,,https://wmbm.com/
WMGE,Radio,"7080 Industrial Highway, Macon, GA 31216",Georgia,Macon,African-American,"N, iheartradio affiliate",,,
WMMS-HD2,Radio,"6200 Oak Tree Blvd., 4th Floor Independence, OH",Ohio,Cleveland,African-American,"N, iheartradio affiliate",,,
WNOH,Radio,"1003 Norfolk Sq, Norfolk, VA 23502",Virginia,Hampton Roads region,African-American,"N, iheartradio affiliate",,,
WNOV,Radio,2003 W. Capitol Drive Milwaukee WI 53206,Wisconsin,Milwaukee,African-American,Y,,,
WODT,Radio,"929 Howard Ave. New Orleans, LA 70113",Louisiana,New Orleans,African-American,"N, iheartradio affiliate",,,
WOVU 95.9 FM,Radio,"7201 Kinsman Road, Cleveland, OH 44104",Ohio,Northeast Ohio,African-American,Nonprofit,"Jae Williams, jwilliams@bbcdevelopment.org, (216) 342-2963",General Manager,https://wovu.org/
WPUL,Radio,"P.O. Box 48857, Tampa, FL 33646",Florida,Daytona Beach,African-American and Latino,Y,"Julia T. Cherry, sales@daytonatimes.com",Senior managing member,
WRBJ,Radio,"745 North State Street Jackson, MS 39202",Mississippi,Jackson,African-American,Y,,,http://www.thebeatofthecapital.com/
WTAL,Radio,"1363 E Tennessee St, Tallahassee, FL 32308",Florida,Tallahassee,African-American,Y,"RB Holmes, wtal1450@capitaloutlook.com",President,http://wtal1450.com/
WURD,Radio,"1341 N Delaware Ave # 300, Philadelphia, PA 19125",Pennsylvania,Philadelphia,African-American,y,,,https://wurdradio.com/
WVON,Radio,"800 South Wells, Suite #130 and #170, Chicago, IL 60607",Illinois,Chicago,African-American,Y,,,
WYNF,Radio,"2743 Perimeter Parkway #100 STE300, Augusta, GA 30909",Georgia,Augusta,African-American,"N, iheartradio affiliate",,,
WZZA,Radio,"1570 Woodmont Drive, Tuscumbia, AL, 35674",Alabama,Tuscumbia,African-American,Y,"Leonard Skipworth, sales@wzzaradio.com",Sales manager,http://wzzaradio.com/
Zethiopia,"""Online, daily"",""Newspaper, monthly""","P.O. Box 2049, Fairfax, Virginia 22031","Washington, D.C.","Washington, D.C.",Ethiopian,Y,"Dereje Desta, dereje@zethiopia.com",Editor,zethiopia.com
